timestamp,datetime,comment-id,author-id,agrees,disagrees,moderated,comment_text,passes,Group-none-disagree-count,Group-none-pass-count,Group-none-agree-count,Group-1-disagree-count,Group-1-pass-count,Group-1-agree-count,Group-2-disagree-count,Group-2-pass-count,Group-2-agree-count,votes,agree_rate,disagree_rate,pass_rate,difference_of_opinion_rank
1774343775,Tue Mar 24 2026 09:16:15 GMT+0000 (Coordinated Universal Time),0,0,,,1,"AI in care homes should free up time for staff to spend with residents, not replace human
contact.",,,,,0.0,1.0,0.0,0.0,0.0,1.0,,,,,
1774343783,Tue Mar 24 2026 09:16:23 GMT+0000 (Coordinated Universal Time),1,0,,,1,People living with dementia deserve a say in whether AI tools are used in their care.,,,,,0.0,1.0,0.0,0.0,0.0,1.0,,,,,
1774343792,Tue Mar 24 2026 09:16:32 GMT+0000 (Coordinated Universal Time),2,0,,,1,"Using AI to keep an elderly person company when no human is available is better than
leaving them alone.",,,,,0.0,1.0,0.0,0.0,0.0,1.0,,,,,
1774343800,Tue Mar 24 2026 09:16:40 GMT+0000 (Coordinated Universal Time),3,0,4.0,1.0,1,"Families caring for someone with a serious illness should be offered AI tools to help, even if
those tools are not perfect.",1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,6.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.33333333333333337
1774343808,Tue Mar 24 2026 09:16:48 GMT+0000 (Coordinated Universal Time),4,0,,,1,"When AI helps make a decision about your benefits, housing, or health, you should be told.",,,,,0.0,1.0,0.0,0.0,0.0,1.0,,,,,
1774343814,Tue Mar 24 2026 09:16:54 GMT+0000 (Coordinated Universal Time),5,0,,,1,"If an AI system treats people unfairly because of their race, age, or disability, someone
should be held responsible.",,,,,0.0,1.0,0.0,0.0,0.0,3.0,,,,,
1774343824,Tue Mar 24 2026 09:17:04 GMT+0000 (Coordinated Universal Time),6,0,,,1,"People should always be able to reach a real person when dealing with a government
service, even if AI handles most tasks.",,,,,0.0,1.0,0.0,0.0,0.0,2.0,,,,,
1774343832,Tue Mar 24 2026 09:17:12 GMT+0000 (Coordinated Universal Time),7,0,,,1,"The UK should create an independent body with real power to shut down harmful AI
systems.",,,,,0.0,1.0,1.0,1.0,0.0,1.0,,,,,
1774343840,Tue Mar 24 2026 09:17:20 GMT+0000 (Coordinated Universal Time),8,0,,,1,"People are being harmed by AI-driven decisions while the government takes too long to
act.",,,,,0.0,1.0,0.0,0.0,0.0,1.0,,,,,
1774343846,Tue Mar 24 2026 09:17:26 GMT+0000 (Coordinated Universal Time),9,0,,,1,"Workers who lose their jobs because of AI should get real help finding new work, not just
advice.",,,,,0.0,1.0,0.0,0.0,0.0,2.0,,,,,
1774343856,Tue Mar 24 2026 09:17:36 GMT+0000 (Coordinated Universal Time),10,0,2.0,1.0,1,"Companies should not be allowed to replace workers with AI unless they help those workers
find new roles.",2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,5.0,0.4,0.2,0.4,0.4
1774343864,Tue Mar 24 2026 09:17:44 GMT+0000 (Coordinated Universal Time),11,0,,,1,"New AI data centres in Oxfordshire will create good jobs for local people, not just for tech
workers from elsewhere.",,,,,0.0,1.0,0.0,1.0,0.0,0.0,,,,,
1774343871,Tue Mar 24 2026 09:17:51 GMT+0000 (Coordinated Universal Time),12,0,4.0,1.0,1,"Communities should have a voice in deciding how AI is used in their local schools and
hospitals.",2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,7.0,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.2857142857142857
1774343879,Tue Mar 24 2026 09:17:59 GMT+0000 (Coordinated Universal Time),13,0,,,1,"Schools should teach children to question what AI tells them, not just how to use it.",,,,,0.0,1.0,0.0,0.0,0.0,1.0,,,,,
1774343884,Tue Mar 24 2026 09:18:04 GMT+0000 (Coordinated Universal Time),14,0,,,1,"AI tools in schools do more to help struggling students catch up than they do to harm
learning.",,,,,0.0,2.0,0.0,0.0,0.0,1.0,,,,,
1774343893,Tue Mar 24 2026 09:18:13 GMT+0000 (Coordinated Universal Time),15,0,,,1,"When I talk to a chatbot or AI assistant, I should always be told it is not a real person.",,,,,0.0,1.0,0.0,0.0,0.0,1.0,,,,,
1774343900,Tue Mar 24 2026 09:18:20 GMT+0000 (Coordinated Universal Time),16,0,2.0,0.0,1,"Big technology companies care more about profits than about what happens to our
communities.",1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.6666666666666666,0.0,0.3333333333333333,5.551115123125783e-17
1774343906,Tue Mar 24 2026 09:18:26 GMT+0000 (Coordinated Universal Time),17,0,,,1,"A community that takes care of its people matters more than one with the most advanced
technology.",,,,,0.0,1.0,1.0,0.0,0.0,3.0,,,,,
1774343912,Tue Mar 24 2026 09:18:32 GMT+0000 (Coordinated Universal Time),18,0,,,1,"AI companies should have to pay artists and writers when they use their work to train AI
systems.",,,,,0.0,1.0,0.0,0.0,0.0,2.0,,,,,
1774343923,Tue Mar 24 2026 09:18:43 GMT+0000 (Coordinated Universal Time),19,0,,,1,We should slow down on AI until we better understand what it does to people.,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,,,,
