comment-id,comment,total-votes,total-agrees,total-disagrees,total-passes,group-a-votes,group-a-agrees,group-a-disagrees,group-a-passes,group-b-votes,group-b-agrees,group-b-disagrees,group-b-passes
0,"AI in care homes should free up time for staff to spend with residents, not replace human
contact.",2,1,0,1,2,1,0,1,0,0,0,0
1,"People living with dementia deserve a say in whether AI tools are used in their care.",2,1,0,1,2,1,0,1,0,0,0,0
2,"Using AI to keep an elderly person company when no human is available is better than
leaving them alone.",2,1,0,1,2,1,0,1,0,0,0,0
3,"Families caring for someone with a serious illness should be offered AI tools to help, even if
those tools are not perfect.",6,4,1,1,3,1,1,1,3,3,0,0
4,"When AI helps make a decision about your benefits, housing, or health, you should be told.",2,1,0,1,2,1,0,1,0,0,0,0
5,"If an AI system treats people unfairly because of their race, age, or disability, someone
should be held responsible.",4,3,0,1,2,1,0,1,2,2,0,0
6,"People should always be able to reach a real person when dealing with a government
service, even if AI handles most tasks.",3,2,0,1,2,1,0,1,1,1,0,0
7,"The UK should create an independent body with real power to shut down harmful AI
systems.",4,2,1,1,3,1,1,1,1,1,0,0
8,"People are being harmed by AI-driven decisions while the government takes too long to
act.",2,1,0,1,2,1,0,1,0,0,0,0
9,"Workers who lose their jobs because of AI should get real help finding new work, not just
advice.",3,2,0,1,3,2,0,1,0,0,0,0
10,"Companies should not be allowed to replace workers with AI unless they help those workers
find new roles.",5,2,1,2,3,0,1,2,2,2,0,0
11,"New AI data centres in Oxfordshire will create good jobs for local people, not just for tech
workers from elsewhere.",2,0,1,1,2,0,1,1,0,0,0,0
12,"Communities should have a voice in deciding how AI is used in their local schools and
hospitals.",7,4,1,2,6,4,0,2,1,0,1,0
13,"Schools should teach children to question what AI tells them, not just how to use it.",2,1,0,1,2,1,0,1,0,0,0,0
14,"AI tools in schools do more to help struggling students catch up than they do to harm
learning.",3,1,0,2,3,1,0,2,0,0,0,0
15,"When I talk to a chatbot or AI assistant, I should always be told it is not a real person.",2,1,0,1,2,1,0,1,0,0,0,0
16,"Big technology companies care more about profits than about what happens to our
communities.",3,2,0,1,3,2,0,1,0,0,0,0
17,"A community that takes care of its people matters more than one with the most advanced
technology.",5,4,0,1,3,2,0,1,2,2,0,0
18,"AI companies should have to pay artists and writers when they use their work to train AI
systems.",3,2,0,1,2,1,0,1,1,1,0,0
19,"We should slow down on AI until we better understand what it does to people.",2,0,1,1,2,0,1,1,0,0,0,0
