participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,6,5,1,,,,1,,1,,1,,,,,-1,,,,,1,1,
2,,0,1,1,0,,,,,,,,,,,1,,,,,,,,,
3,1,0,5,5,0,,,,1,,1,1,,,,1,,,,,,,1,,
4,1,0,20,15,5,1,1,1,-1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,-1
5,0,0,1,1,0,,,,,,,,,,,,,1,,,,,,,
6,0,0,1,1,0,,,,1,,,,,,,,,,,,,,,,
7,0,0,3,0,0,,,,,,,,,,,0,,0,,0,,,,,
8,1,0,1,1,0,,,,,,,,,,1,,,,,,,,,,
9,0,0,3,3,0,,,,,,,,1,,,,,1,,,,,1,,
15,,0,3,3,0,,,,1,,,,,,,,,1,,,,1,,,
